tau,seed,delta_mean_F,delta_median_F,delta_p25_F,delta_p10_F,delta_min_F,delta_P_gt_90,delta_P_gt_95,delta_P_gt_99,delta_worst5_mean
10.0,42,0.32638999999999996,0.3331900000000001,0.50857,0.59185,0.25557,0.6362,0.5318,0.17880000000000001,0.57871
10.0,43,0.15840999999999994,0.14342,0.26869999999999994,0.34489999999999993,0.18145,0.2578,0.1262,0.025199999999999993,0.37884
10.0,44,-0.08183000000000001,-0.13517,-0.11176,-0.09494999999999998,-0.03705,0.002,0.0,0.0,-0.06872999999999999
10.0,45,-0.45372,-0.48737,-0.60381,-0.6688,-0.22504,-0.819,-0.7008,-0.4496,-0.5708599999999999
10.0,46,-0.015249999999999986,-0.06111999999999995,-0.0013000000000000789,0.04698000000000002,0.02539,-0.06840000000000002,-0.17580000000000007,-0.35719999999999996,0.015649999999999997
10.0,47,0.20710000000000006,0.30644,0.32553,0.22141,0.010330000000000002,0.15660000000000002,0.0924,0.0196,0.10481
10.0,48,-0.18741000000000008,-0.1866,-0.29062,-0.35297999999999996,-0.13090000000000002,-0.1314,-0.0934,-0.045200000000000004,-0.34753999999999996
10.0,49,0.020930000000000004,0.055419999999999914,0.05703999999999998,-0.05340999999999996,-0.12810000000000002,0.15579999999999994,0.23879999999999996,0.2782,-0.17194000000000004
